agent_id,affiliation_id,affiliation_strength
1,4,Unknown
1,7,Medium
1,16,Unknown
1,18,Low
1,19,Medium
1,22,High
1,26,Unknown
1,27,Unknown
1,36,Unknown
1,44,Low
1,46,Low
1,47,Medium
1,49,Unknown
2,4,Medium
2,5,Medium
2,8,Medium
2,10,High
2,15,Medium
2,17,High
2,25,Medium
2,26,Unknown
2,30,Low
2,31,Unknown
2,33,Low
2,34,Medium
2,35,High
2,44,Medium
2,47,Low
2,49,Unknown
2,50,Unknown
3,11,Medium
3,17,High
3,24,Medium
3,25,High
3,26,Low
3,32,Medium
3,33,High
3,34,Medium
3,35,High
3,37,Low
3,40,Low
3,41,Unknown
3,42,Unknown
3,43,Unknown
3,47,Low
3,48,Low
3,49,High
3,50,Low
4,4,Low
4,7,Low
4,9,Unknown
4,12,Medium
4,19,Low
4,22,Unknown
4,23,Low
4,24,Medium
4,26,Low
4,29,Unknown
4,35,Unknown
4,36,Low
4,37,Medium
4,39,Medium
4,40,Low
4,43,Low
4,45,Medium
4,46,Medium
4,48,Low
5,2,Medium
5,4,Unknown
5,12,Medium
5,18,Low
5,21,Low
5,25,High
5,26,Low
5,27,High
5,29,Medium
5,30,High
5,35,Low
5,36,Unknown
5,41,Medium
6,3,Medium
6,4,Low
6,7,Unknown
6,20,Medium
6,21,Medium
6,26,High
6,28,Low
6,30,Unknown
6,31,Medium
6,32,Medium
6,36,High
6,49,Low
7,3,Unknown
7,13,High
7,14,Medium
7,15,Low
7,21,Unknown
7,25,Medium
7,29,Medium
7,30,Low
7,32,Medium
7,39,Low
7,41,Low
7,47,High
7,48,Low
7,50,Low
8,2,Medium
8,3,Medium
8,7,Low
8,10,Low
8,17,Unknown
8,19,High
8,20,Low
8,21,Medium
8,24,Unknown
8,35,Low
8,41,Medium
8,44,High
8,49,High
9,3,High
9,4,Low
9,7,Low
9,9,Medium
9,10,Low
9,18,High
9,22,Low
9,27,Unknown
9,30,Low
9,31,Medium
9,32,Low
9,33,Medium
9,37,High
9,38,Medium
9,45,High
9,50,Unknown
10,3,Low
10,6,Medium
10,7,Medium
10,9,Unknown
10,10,Unknown
10,12,Low
10,14,High
10,16,Low
10,17,Low
10,24,High
10,25,Medium
10,27,Medium
10,28,Unknown
10,29,High
10,35,High
10,37,Low
10,38,Medium
10,41,Medium
10,42,High
10,46,Unknown
10,47,Unknown
10,48,Medium
11,4,Unknown
11,8,Medium
11,10,Medium
11,12,Medium
11,17,Medium
11,19,Medium
11,22,Low
11,27,High
11,29,Low
11,30,Medium
11,37,Medium
11,46,Low
11,48,Medium
11,49,High
12,1,Medium
12,3,Medium
12,14,Unknown
12,15,Low
12,17,High
12,19,Medium
12,22,Low
12,25,Medium
12,30,Medium
12,34,High
12,36,Low
12,37,Medium
12,40,Unknown
12,42,Low
12,44,High
12,45,Medium
12,46,Medium
12,47,Low
13,11,High
13,12,Unknown
13,13,High
13,19,Medium
13,20,High
13,22,Low
13,34,Medium
13,37,Low
13,38,Low
13,39,Low
13,46,Low
14,6,Unknown
14,13,Unknown
14,18,Medium
14,19,Unknown
14,20,Low
14,23,Low
14,25,Unknown
14,28,Medium
14,30,Low
14,31,Low
14,34,Low
14,36,High
14,42,Low
14,43,Medium
14,46,Unknown
14,49,Low
15,19,Medium
15,21,Medium
15,36,Unknown
15,42,High
15,43,Low
15,45,Low
15,47,Unknown
16,2,Low
16,3,Low
16,5,Low
16,13,Low
16,16,Low
16,19,Low
16,32,Medium
16,34,Low
