agent_id,language_id
1,7
1,13
1,15
2,4
2,10
2,14
3,21
4,7
4,8
4,12
4,17
5,5
5,11
5,12
5,17
6,11
6,12
7,2
7,3
7,9
7,11
7,21
8,1
8,6
8,21
9,3
9,13
9,20
10,2
10,4
10,9
10,11
11,4
11,6
11,13
11,19
12,1
12,6
12,14
12,21
13,13
13,17
14,4
14,18
14,19
15,3
15,7
15,19
16,1
16,9
16,10
16,14
17,2
17,7
17,21
18,3
18,10
18,11
18,20
19,9
19,15
20,7
20,14
21,4
21,15
21,16
22,12
22,20
23,5
23,13
24,8
24,9
24,10
24,15
25,1
25,5
26,8
26,9
27,1
27,14
27,15
27,18
28,3
28,5
28,9
28,14
28,19
28,20
29,6
29,7
29,8
29,18
29,19
30,12
30,15
30,16
32,6
33,1
33,9
33,12
33,13
33,20
34,1
34,4
34,9
34,11
35,1
35,19
36,7
36,20
37,4
37,6
37,7
37,15
37,21
38,1
38,6
38,9
38,12
39,18
40,17
41,5
41,18
42,20
43,14
43,16
43,19
43,20
44,4
44,9
44,18
45,4
45,12
45,13
45,14
45,15
46,2
46,15
46,21
47,7
47,19
48,9
48,11
48,20
49,1
49,3
49,12
49,15
49,21
50,16
51,7
51,10
51,12
52,10
52,11
53,3
53,6
54,6
54,9
54,11
55,3
55,6
55,7
55,15
56,2
56,5
56,6
57,17
58,2
58,16
58,20
59,6
59,8
59,10
60,8
60,14
61,4
61,20
62,9
62,12
62,14
62,20
63,2
63,6
63,9
63,11
63,12
63,16
64,1
64,7
64,21
66,2
66,3
66,9
66,13
67,5
67,6
67,7
67,15
69,3
69,17
70,7
70,13
71,3
71,11
71,18
72,2
72,3
72,5
73,2
73,18
73,19
74,4
74,11
74,13
74,16
75,1
75,5
75,12
76,9
77,6
77,14
77,16
78,16
79,14
79,19
80,8
80,20
82,6
82,15
82,20
82,21
83,3
83,4
83,10
84,10
84,11
84,21
85,1
85,2
85,6
85,11
85,19
86,6
86,8
86,11
86,15
86,17
86,20
86,21
87,7
87,9
87,14
87,17
87,21
88,6
88,9
88,11
89,2
89,15
90,9
90,15
90,19
91,1
91,2
91,4
91,7
91,10
92,6
92,9
92,10
92,17
94,1
95,4
95,6
95,21
96,4
96,5
96,14
97,3
97,18
99,3
99,11
99,14
99,18
100,1
100,7
101,6
101,7
102,2
102,8
102,12
102,21
103,4
103,9
103,11
103,16
103,18
104,6
104,8
104,11
104,16
105,13
105,16
105,20
106,5
106,6
106,8
106,12
107,2
107,4
107,5
107,20
107,21
108,7
108,8
108,13
108,14
108,15
109,10
109,17
109,18
110,1
110,3
110,8
110,11
110,17
110,18
111,4
111,9
111,15
111,21
112,8
112,11
112,14
112,16
113,4
113,10
113,11
113,15
114,7
114,10
115,2
115,7
115,8
115,9
116,3
117,1
118,21
119,3
119,5
119,8
119,15
119,16
120,15
121,10
122,8
122,13
122,14
123,4
123,5
123,10
123,13
123,14
123,18
124,1
124,6
124,10
124,14
126,5
126,20
127,9
127,12
128,2
128,10
128,20
130,21
131,1
131,13
131,21
132,2
132,3
132,4
132,8
132,12
132,13
133,20
134,1
134,18
134,21
135,3
135,17
136,1
136,3
136,20
137,1
137,4
137,6
138,4
138,8
139,3
139,4
139,12
139,16
140,1
140,9
140,11
140,15
140,19
142,3
142,12
142,14
143,3
144,1
144,18
144,21
145,10
145,13
145,16
146,6
146,10
146,11
146,12
146,16
146,18
147,12
147,15
147,18
148,1
148,13
149,1
149,2
149,4
149,6
149,17
149,18
150,6
150,14
151,7
151,11
151,14
151,16
152,12
152,17
152,20
153,1
153,4
153,7
153,8
153,15
154,9
154,11
155,1
155,3
155,6
155,7
155,8
155,15
155,16
155,17
155,20
157,10
157,13
157,16
158,6
158,10
158,18
159,10
159,21
161,9
161,13
161,18
162,5
162,9
162,11
163,9
163,19
163,21
164,5
164,11
165,2
165,3
165,10
166,3
166,9
166,14
166,16
166,17
167,7
167,16
168,11
168,17
168,18
169,10
169,11
169,13
169,16
169,21
170,12
171,5
171,9
172,3
172,11
172,12
172,14
172,20
173,4
173,15
174,13
174,17
174,21
175,1
175,2
175,7
175,18
175,20
176,10
176,12
176,15
176,21
177,3
177,8
177,11
177,15
178,1
178,2
178,14
178,20
179,2
179,3
179,4
179,5
179,8
179,9
179,12
179,18
179,20
180,5
180,9
180,13
180,21
181,2
181,3
181,4
181,16
182,9
182,13
182,15
182,20
183,2
183,4
183,12
183,18
183,19
184,5
184,7
184,15
184,16
185,3
185,9
185,17
185,19
185,21
186,1
186,7
186,13
187,13
188,4
188,5
188,7
188,9
188,14
188,17
189,2
190,3
190,14
190,18
191,3
191,14
191,20
192,7
192,9
192,17
193,5
193,11
193,17
194,2
194,4
194,5
194,7
194,18
195,1
195,11
195,15
196,12
196,14
197,2
197,12
198,4
198,6
198,12
198,15
198,19
199,17
199,21
200,1
200,2
200,3
200,6
200,16
200,19
201,5
201,8
201,12
201,16
201,20
202,11
203,7
203,11
203,13
203,16
204,7
204,13
204,20
205,7
205,12
205,16
206,9
206,12
206,20
207,6
207,17
207,20
208,11
209,8
209,21
210,14
211,1
211,3
211,4
211,8
211,9
211,17
212,11
212,15
212,19
213,4
213,15
214,3
214,6
214,16
214,17
214,19
215,3
215,12
215,15
216,9
216,10
216,12
216,13
216,14
216,16
216,18
217,11
218,3
218,8
218,13
218,17
218,21
219,7
219,14
219,16
220,5
220,7
220,16
220,18
221,2
221,10
221,12
222,8
222,14
222,15
223,8
223,14
223,17
223,18
224,4
224,10
224,12
224,14
224,20
225,1
225,5
225,6
225,11
225,16
226,3
226,10
226,13
227,1
227,6
227,7
227,9
227,14
227,15
228,11
229,3
229,10
229,15
229,16
229,20
230,6
230,14
231,4
231,12
231,13
231,16
232,2
232,15
232,17
233,8
233,13
233,17
233,19
233,20
234,18
234,21
235,7
235,14
235,17
235,18
236,1
236,5
236,8
236,15
236,21
237,9
237,16
237,17
237,21
238,1
238,2
238,5
239,12
240,10
240,14
240,17
240,18
240,21
241,8
242,11
242,12
242,20
243,9
244,6
244,7
244,8
244,9
244,11
244,12
244,14
244,18
245,1
245,6
245,11
247,17
247,18
247,20
248,1
248,17
249,2
249,6
249,7
249,17
249,21
250,10
250,14
250,19
250,21
251,12
252,13
252,17
253,9
253,21
254,1
254,3
254,5
254,17
254,20
255,7
255,8
255,13
255,19
256,13
256,14
256,15
256,16
256,19
257,2
257,6
257,7
257,10
257,11
257,13
257,15
258,1
258,3
258,10
258,13
258,14
258,16
258,20
259,7
259,13
260,9
260,11
261,3
261,4
261,6
262,1
262,3
262,19
262,21
263,1
263,6
263,17
