skill_id,skill_name
1,Counter-Surveillance
2,Counterintelligence
3,Athletics
4,Deep Cover Maintenance
5,Stealth
6,Cyber Warfare
7,Dead Drop Techniques
8,Forgery
9,Facial Recognition Evasion
10,Deception Detection
11,Interrogation
12,Marksmanship
13,Psychological Manipulation
14,Covert Entry
15,Social Engineering
16,Improvised Explosives Detection
17,Tactical Driving
18,Signal Interception
19,Underwater Operations
20,Explosives
21,Wilderness Survival
22,Negotiation
23,Micro Expression Reading
24,Cryptography
25,Acoustic Analysis
26,Thermal Imaging Interpretation
27,Eidetic Recall
28,Hacking
29,Digital Forensics
30,Disguise
31,Driving
32,Improvised Weaponry
33,Lip Reading
34,Lockpicking
35,Biometric Bypass
36,Poison Resistance
37,Threat Assessment
38,Speed Reading
39,Psychological Profiling
40,Surveillance
41,Parkour
42,Escape Artistry
43,Photographic Memory
44,Reverse Engineering
45,Asset Recruitment
46,First Aid
47,Languages
48,Hand-to-Hand Combat
49,Geopolitical Analysis
50,Information Extraction
51,Satellite Imagery Analysis
52,Hostage Negotiation
53,Chemical Warfare Defense
54,Asset Management
55,Strategy
