agent_id,skill_id
1,7
1,12
1,17
1,18
1,27
1,30
1,32
1,36
1,37
1,41
1,48
2,1
2,3
2,5
2,7
2,11
2,15
2,18
2,20
2,22
2,38
2,39
2,50
3,1
3,11
3,12
3,16
3,18
3,29
3,32
3,48
3,55
4,2
4,4
4,6
4,19
4,24
4,34
4,39
4,55
5,4
5,13
5,20
5,27
5,28
5,37
5,44
5,50
5,51
6,6
6,12
6,29
6,45
7,4
7,10
7,14
7,27
7,28
7,31
7,33
7,36
7,41
7,45
7,51
7,55
8,3
8,7
8,10
8,11
8,15
8,37
8,38
8,39
8,43
9,1
9,2
9,9
9,10
9,11
9,14
9,29
9,32
9,41
9,46
9,50
10,4
10,7
10,15
10,19
10,33
10,34
10,35
10,39
10,40
10,41
10,52
10,55
11,3
11,4
11,14
11,20
11,30
11,32
11,34
11,47
11,53
12,11
12,12
12,15
12,20
12,22
12,23
12,24
12,26
12,34
12,37
12,41
12,52
13,7
13,13
13,21
13,34
13,35
13,36
13,48
13,50
13,51
13,54
14,9
14,24
14,27
14,34
14,36
14,37
14,41
14,47
14,50
15,2
15,7
15,10
15,12
15,15
15,19
15,24
15,28
15,30
15,34
15,35
15,36
15,44
15,47
15,49
15,50
15,54
15,55
16,2
16,12
16,13
16,14
16,18
16,25
16,27
16,32
16,37
16,44
17,4
17,5
17,14
17,15
17,21
17,26
17,27
17,30
17,32
17,33
17,38
17,41
17,43
17,52
17,53
18,12
18,21
18,27
18,35
18,38
18,41
18,42
18,46
18,48
18,51
19,2
19,3
19,6
19,10
19,11
19,12
19,17
19,20
19,36
19,45
19,46
20,1
20,6
20,10
20,15
20,17
20,18
20,28
20,36
20,37
20,46
20,47
20,53
21,3
21,8
21,9
21,11
21,19
21,20
21,21
21,26
21,31
21,32
21,34
21,35
21,39
21,40
21,43
21,48
22,10
22,15
22,25
22,27
22,30
22,31
22,32
22,40
22,47
22,49
22,51
23,2
23,8
23,9
23,12
23,18
23,27
23,32
23,34
23,36
23,48
23,54
24,2
24,30
24,36
24,37
24,40
24,41
24,43
24,44
24,45
24,46
24,47
24,50
24,51
25,1
25,5
25,6
25,8
25,16
25,20
25,21
25,24
25,26
25,31
25,34
25,37
25,45
25,48
26,5
26,8
26,10
26,11
26,13
26,16
26,20
26,21
26,25
26,26
26,28
26,32
26,50
26,51
27,2
27,12
27,20
27,21
27,23
27,29
27,35
27,40
27,44
27,46
27,47
27,48
27,52
