team_id,team_name,meeting_frequency
3,Charlie Team,Annually
6,Chimera Syndicate,Annually
9,Vanguard Squad,Annually
12,Prometheus Team,Annually
15,Omega Division,Annually
18,Vortex Ensemble,Annually
21,Phoenix Contingent,Annually
24,Juliet Team,Annually
27,Team Biafra,Annually
30,Eclipse Ensemble,Annually
33,Alpha Team,Annually
36,November Team,Annually
39,Erebus Contingent,Annually
42,Lima Team,Annually
1,Hydra Network,Monthly
2,Labyrinth Group,Monthly
4,Cipher Squad,Monthly
5,Cerberus Unit,Monthly
7,Phantom Unit,Monthly
8,Foxtrot Team,Monthly
10,Obsidian Cell,Monthly
11,Avalon Initiative,Monthly
13,Spectre Cell,Monthly
14,Golf Team,Monthly
16,India Team,Monthly
17,Enigma Operatives,Monthly
19,Zenith Crew,Monthly
20,Horizon Crew,Monthly
22,Specter Division,Monthly
23,Polaris Division,Monthly
25,Delta Team,Monthly
26,Sentinel Unit,Monthly
28,Echo Team,Monthly
29,Titan Taskforce,Monthly
31,Shadow Operatives,Monthly
32,Nebula Operatives,Monthly
34,Bravo Team,Monthly
35,Aegis Collective,Monthly
37,Tempest Squad,Monthly
38,Nexus Group,Monthly
40,Helios Taskforce,Monthly
41,Mike Team,Monthly
43,Mirage Detachment,Monthly
44,Oscar Team,Monthly
